구분,질문,답변
월세,"1.,부동산 월세 계약서를 집주인분과 협의 및 수정하는데법적으로 문제가될까요?2.연장계약서 포함 (묵시적 연장이 아닌 연장을 인증해서 제출해야된다해서 연장계약서 작성하는데 집주인분과 협의만된다면법적으로 아무문제가 없을까요??)","문제 없습니다.협의해서 수정하고 몇글자 수정했는지? 표시까지 하고,서명 또는 날인을 임대인, 임차인이 하면 됩니다.​​2.연장계약서 포함 (묵시적 연장이 아닌 연장을 인증해서 제출해야된다해서 연장계약서 작성하는데 집주인분과 협의만된다면법적으로 아무문제가 없을까요??)<답변> 묵시적 갱신이면 연장 계약서는 작성 안 해도 됩니다.작성한다고 해도 확정일자는 다시 받을 필요는 없습니다.그냥 작성해서 가지고 있으면 됩니다.불리한 특약이 들어왔는지? 점검해야 합니다."
월세,"안녕하세요?신탁 오피스텔 임대차 계약(보증금 5천만원, 월세 30만원)을 하려고 합니다. 수탁자 부동산 임대차 승낙서와 우선수익자 사전동의서를 받아놓으면 추후 문제가 발생하여 경매진행시신탁원부에  우선수익권자(은행)가 있어도 임대보증금을 우선하여 반환 받을 수 있는지 궁금합니다.","​신탁등기된 부동산은 그렇지 않은 부동산보다 권리관계가 복잡한 편이기 때문이 임대차 계약을 체결하실 때 각별한 주의를 기울이셔야 합니다. 일반적인 임대차 계약 관계는 임대인, 임차인이 당사자가 되는데, 신탁등기가 설정된 임대차 계약의 경우에는 위탁자, 수탁자, 수익자, 임차인이 당사자가 됩니다. 수탁자(일반적으로 신탁회사)가 아닌 위탁자와 임대차 계약을 체결하면 임대차 계약의 효력 자체가 부정될 수 있습니다. ​이 경우 당연히 우선변제권이나 최우선변제권을 주장할 수 없습니다. 보통 신탁회사의 동의를 받는데 신탁회사의 동의를 받는다고 해서 보증금이 보호되는 것은 아닙니다. 최근 신탁등기를 악용한 전세사기가 기승을 부리고 있는데 이에 해당사항이 없는지 검토해보시는 것도 필요해보입니다."
월세,"오피스텔 주인으로서 월세 다른사람 한테 월세 받고 잇는 상황인데 세입자가 계약후 퇴거시블라인드 얼룩자국 오염,벽지 500원 크기보다크게 찢어짐,신발장 가구 물뭍어서 부풀어 오른것처럼 기포 발생 파손,싱크대 윗칸 서랍 가구 긁힘이렇게 많이 집이 손상 되었는데 손해배상 해당 안되는게 어느부분인가요 다 손해배상 받아야 하는게 맞죠?부동산 측에서는 세입자랑 알아서 얘기 하라는것 같이 말하는데 어떻게 해야하나요세입자한테 원상 복구 해놓으라고 했는데 다고쳤다고 해서 갓더니 그대로네요 어떤 절차를 밟아야 하나요참고로 새건물 첫 분양으로 다 새건물인데 이렇네요세입자는 오늘부로 계약기간 만료로 나갓고파손된체 오늘 부동산 중개사가 파손된 사진 보내서 알게 됫어요 책임은 안지고 세입자한테 계약금 보내라고 하는데 계약기간 만료 오늘이지만 손상된거 다고 치고 나가야줘야되는거 아닙니까 어떻게 해야되요?도와주세요",세입자의 과실이면 원상복구의 책임이 있습니다.  ​이런 경우 인테리어 업체에서 견적을 받아 보증금에서 일부 차감하고 반환 하거나 보증금을 반환한후 수리를 하고 수리비를 소장을 통해 청구 할수도 있습니다
월세,"안녕하세요저는 집주인이고, 월세 계약을 체결했습니다.현재 기준, 입주 약 1개월 전 상황이고, 계약금 500만원을 받고 계약서 썼습니다.(가계약 아님, 정식 계약)그리고, 조금 전 임차인으로부터 계약을 파기하겠다는 연락을 받았습니다. 문제는, 계약금 500만원을 포기하는 것이 아니라 보증금(3,000만원)의 10%인 300만원만 포기하고 200만원은 돌려달라고 합니다.이유는 판례상 10%가 일반적이라는 건데,계약서상에는 임대인은 계약파기시 계약금 배액배상,임차인은 계약금을 포기한다고 정확히 명시했습니다.제가(임대인) 계약을 파기했으면 배액배상을 해달라고 요구했을 것으로 예상되는데,이제와서 판례를 얘기하며 10%이상은 인정못한다고 하는게 이해가 되지 않습니다.이런 경우, 계약금 총액(500만원)을 반납하지 않아도되는게 맞는지 문의드립니다.추가로, 계약 파기시 향후 절차도 문의드립니다.(다른 세입자와의 계약진행을 위해 기존 계약을 명확하게 해지/파기하는 절차)","계약서상 임차인이 계약파기시 계약금을 손해배상액으로 정하고 이를 몰취한다는 취지의 규정이 있다면 계약서에 명시된 대로 해당 계약금이 손해배상액의 예정으로 인정됩니다만, 사건화 되어 민사재판을 하게 되는 경우에는 민법 제398조 제2항에 따라 재판부가 적당한 금액으로 '감액'할 수는 있습니다. 이러한 점 고려하여 적정한 금액으로 합의보시는 것도 좋은 방법입니다. ​제398조(배상액의 예정) ①당사자는 채무불이행에 관한 손해배상액을 예정할 수 있다.②손해배상의 예정액이 부당히 과다한 경우에는 법원은 적당히 감액할 수 있다.③손해배상액의 예정은 이행의 청구나 계약의 해제에 영향을 미치지 아니한다.④위약금의 약정은 손해배상액의 예정으로 추정한다.⑤당사자가 금전이 아닌 것으로써 손해의 배상에 충당할 것을 예정한 경우에도 전4항의 규정을 준용한다.​● 확실히 계약파기를 하는 방법은 일단 임차인의 계약포기 의사가 명확히 담긴 증거방법을 확보하시고 (문자, 카톡, 전화통화 녹음 등 방법 무관), 임대인에게 내용증명 등의 방법으로  계약 파기 요청에 따라 해당 임대차계약은 효력이 없고 계약금은 손해배상으로 몰취하겠다는 뜻을 명확히 표시하시면 됩니다."
월세,"안녕하세요. 내일 부동산 월세 계약을 하려고 하는데요.미리 등기부등본을 발급 받아봤거든요.등기부등본 상에갑구, 을구를 확인해야한다고 들었고확인 결과갑구 마지막에위 사진처럼 되어있고을구는 기록사항 없다고 나와있습니다.그리고 3명이 1/3씩 지분을 공유하고 있는데이 경우에는 누구와 계약을 해도 무관한건가요?위 내용으로 계약해도 문제 생기지 않는 내용들인가요?","​해당 부동산이 공동소유물이라면 공동소유자 전원을 임대인으로 해서 계약을 해야 합니다.각 공유자는 1/3 지분만 소유하고 있는 것이므로, 공유자 중 1인과 계약을 했을 경우에 다른 공유자들과의 관계에서는 불법점유사용이 되어 나가라고 할 수 도 있고, 다른 공유자들의 지분에 해당하는 월세 상당 부당이득을 청구할 수 도 있습니다.따라서 임대차계약서의 임대인 란에 공유자 3인을 모두 기재한 후 서명날인을 받고, 월세 지급방법에 대하여도 공유자 중 1인에게 지급하거나 또는 1/3씩 나누어 각 공유자들에게 지급하는 내용의 특약사항을 기재하시기 바랍니다.​등기사항증명서의 갑구에는 소유권에 관한 사항을 기재하는데, 공유자가 누구인지, 가압류, 압류 등 살아있는 기재가 있는지 확인하시기 바랍니다. 질문 주신 압류등기말소는 과거 10번항에 있었던 압류등기가 말소되었다는 것이므로 그 압류는 없어진 것으로 보시면 됩니다. 그리고 을구에는 저당권 등 담보물권이 설정된 경우에 기재되는데, 기록사항이 없다고 하면 담보설정된 것이 없다는 것으로 보시면 됩니다.​​"
월세,2022년 5월달에 강남에 빌라에 5000에 170 월세집에 들어갔습니다 부동산 광고를 보고 부동산에가서 집을 보고 1년계약으로 한다고 하고 부동산 중계인소개로 계약하는날 집주인이 오셨습니다 계약서 작성을 하는데 집주인이 2년계약 이라고 말을 바꾸셔서 그럼 안하겠다고 하니 중계인이 그럼 일단 계약서는 2년으로 하고 1년 살다가 자신한테 말하면 세입자 구해서 바로 빼주겠다고 하고 집주인도 그렇게 하라고 하고 전입신고도 하지말고 무슨 세금 내야한다고 벌금 자기가 내겠다고해서 그말 믿고 2년계약 했습니다 1년후 다른집을구해 1억에 320짜리 집을 계약해서 이사을했습니다 5월부터 부동산에말해서 집을 빼달라고 하니 알겠다고 말만 하고 지금 9월까지 집두번 보러 왔습니다 계약은 물론 안됬구요 집은 비어있고 월세만 보증금에서 까고있는데 부동산은 집을 뺄생각이 없는거같은데 이건 어떻게 할수 없는 부분인가요? 지금집 월세 320에 170 이렇게 월세가 이중으로 490이 나가고 잇는 상태입니다 부동산은 나몰라라 집주인도 나몰라라 하는데 방법이 제가 세입자를 구해야하는 법 밖에 없나요??,"중도퇴실은 빨리 보증금 반환 받고 싶으면 ​여러 부동산에 의뢰하고 새로운 세입자 빨리 구하는게 제일 좋습니다.​​계약기간이 있는 이유는​​계약기간 만기 까지 임대인은 전세, 월세를 받을 권리가 있고​보증금 반환의 의무가 없으며​​임차인은 거주를 할 권리가 있습니다.​하지만 계약기간 만기 전 퇴실은​임대인이 중도퇴실에 대해 동의하고​기존임차인이 새로운 세입자구하고 중개수수료까지 부담하면 가능합니다.​아니면 계약기간동안 월세, 전세, 관리비 내면서 지내야 되구요빨리 보증금 반환 받고 싶으면 여러 부동산에 의뢰하고 새로운 세입자 빨리 구하는게 제일 좋습니다.​"
월세,월세면은 본인명의가 아닌 것 인가요?본인명의 기준이 등기부상에 소유자가 자신이여야 하는 건가요?추가적으로 자세히 알려주세요ㅜㅜ,남의 부동산에 대해 월세 계약체결한 월세계약 체결한 당사자 임차인을 지칭하는것으로 보여요  월세 계약서에 있는 임차인을 말해요
월세,부동산 월세 계약시임차인의 대출 내역도 볼 수 있나요?,"주택에 담보를 걸어 대출했을경우 잡힌 근저당은 확인 가능하고그 외에 주택과 관련없는 대출은 확인이 어렵습니다.​직접 물어보실수 밖에 없지만, 개인정보라 알려줄리가 없죠."
월세,안녕하세요  월세 계약한지 2년 만기가 되어 재연장하려고 하는데 명의를 엄마 명의로 변경하려고 합니다 부동산에서 집주인과 직접 계약 진행하면 된다고 하는데 계약서 양식을 부동산 월세계약 양식을 사용해도 될가요 ?,"부동산 월세 계약 양식을 사용해도 됩니다.오늘도 행복하고 의미 있는 날이길 바랍니당"
월세,"월세 계약 2년은 지났고  처음 계약서 작성할 때 특약사항에""계약기간 1년지난 후 같은조건(계약기간1년)으로 자동갱신 하기로한다.""라는 사항을 적었으면 법적효력이있는건가요?동네 부동산가니 이건 효력이없다고는 하는데 정확히 알고싶습니다.만약 효력이없다고하면 어딜방문해서 상담받고 신청해야하나요 알려주세요답변부탁드립니다...","​주택임대차보호법상 임대차 기간을 1년으로 정하였다고 하더라도 임차인은 2년을 주장할 수 있습니다.​또한 갱신된 계약의 경우, 계약 종료일 이전 6개월부터 2개월 전까지 계약갱신요구권을 행사할지 여부를 통보할 수 있습니다.​즉 1년 후 자동갱신 조항은 임차인의 갱신요구권 또는 계약 종료할 수 있는 권한을 침해하므로 법적 효력이 없습니다(즉 주택임대차보호법상 편면적 강행규정에 위반됩니다)​"
